Country,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,6767.559229,8244.04566,10056.26139,11507.21715,12187.53636,13233.99052,13892.60514,14700.95981,16055.28779,16548.71739,16620.95456,17750.00956,18828.08706,19216.19724,20681.02303,20740.13258,21307.24825,21949.486,23700.63199,24171.83713,24845.65848,26736.30894,28171.9094,25134.77123,24093.14015,25712.3843,25119.66554,25813.57673,26129.83906,27458.22533,27441.52966,28440.05196,30082.12764,31096.20507,22855.93232,27200.06108,30559.53353,33984.79062
Afganistán,,,,,,,,,,,,,,,174.9309914,138.7068217,178.9540884,198.8711157,221.7636539,254.1842491,274.2185536,376.223152,381.733238,452.0537055,560.6215055,606.6946763,651.4171345,637.0870991,625.0549418,565.5697304,522.0822156,525.4697709,491.3372214,496.6025043,510.7870634,356.4962141,357.2611528,415.7074171
Angola,697.5266024,770.1011401,807.4396284,907.7478931,965.8668405,881.9194881,668.7060175,449.7278949,334.9735903,404.2948185,531.1171368,521.7027251,429.1886541,392.725539,563.7337956,533.5862024,882.1478472,992.6989793,1266.210864,1916.468422,2617.05196,3141.04598,4103.0669,3136.64547,3597.342932,4615.910598,5086.027401,5057.747878,5005.999741,3213.902611,1807.952941,2437.259712,2538.591391,2189.855714,1449.922867,1925.874661,2929.694455,2308.159767
Albania,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4161351,750.6044492,1009.977111,717.3800477,813.7893966,1033.242532,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.787816,2972.743621,3595.038295,4370.539716,4114.134033,4094.349686,4437.141161,4247.631343,4413.063383,4578.633208,3952.803574,4124.05539,4531.032207,5365.489347,5460.428237,5370.778623,6413.283286,6846.426143,8575.171134
Andorra,10539.11779,12828.15194,14599.03552,15714.92655,19563.65747,19533.26207,20099.53522,15916.83952,15748.53075,18443.25452,19130.15972,18247.99957,18536.50843,18875.28837,21810.24874,23511.29515,26528.13016,34063.5784,39021.12781,40829.80188,43467.21099,48336.22833,49132.51571,43975.01837,42746.83095,46657.15612,41500.54358,42470.31612,44369.65969,38654.93472,40129.8192,40672.99433,42819.77458,41257.80458,37361.09007,42425.69968,42414.05901,46812.44845
El mundo árabe,2042.585585,2108.58586,2042.057616,2117.752624,2875.257142,2048.809755,1996.377564,1987.857734,2018.6858,2081.020712,2193.873309,2305.616061,2192.611888,2378.950491,2664.165796,2536.711965,2483.107234,2696.672305,3133.736877,3750.508554,4355.087622,4940.702265,6091.932064,5134.450061,5928.30479,6883.374024,7336.197708,7311.296755,7259.936729,6203.702636,5957.059837,6005.390129,6576.516631,6525.211843,5648.341118,6445.807261,7658.40647,7292.210408
Emiratos Árabes Unidos,23132.07397,23112.62342,21569.70689,23166.73059,26709.99344,25690.96863,25648.27278,25032.78227,25472.63966,27003.20068,28323.16509,27982.7957,24889.42692,25855.8605,29865.50235,27745.17081,27753.60895,29659.54286,33376.71523,38719.31383,44342.60483,45854.73252,50054.17007,37803.06637,43696.67126,50789.05054,52034.47625,52023.5171,51381.40699,43534.99727,41326.40182,42340.59171,45689.857,44251.45414,37173.87541,43360.0211,49899.0653,49040.69475
Argentina,3436.078195,3477.30132,3992.703302,2374.573216,4315.333294,5709.247841,6789.996111,6931.855964,7437.562423,7357.616277,7663.212713,8146.7871,8218.992128,7705.542883,7637.014892,7141.475077,2569.699635,3320.477751,4242.020991,5067.653423,5869.38029,7185.251551,8944.110266,8150.23527,10260.13131,12704.28318,12949.71749,12963.67577,12233.14441,13679.6265,12699.96231,14532.50093,11752.79989,9955.974787,8535.59938,10738.01792,13935.68111,14187.48273
Armenia,,,,,635.3553275,572.7402609,356.35078,347.8706447,390.8799643,443.9248609,487.0686244,505.0358871,590.2399473,582.6698862,593.4505817,659.5889885,742.6511183,882.0301677,1130.087914,1557.484589,2041.652671,2962.702346,3777.668593,2820.592655,3041.344507,3349.553098,3511.563997,3680.166922,3852.118006,3512.393503,3524.424769,3869.053739,4196.005623,4597.228874,4268.680933,4685.179971,6571.974455,8053.010663
Samoa Americana,,,,,,,,,,,,,,,,,8972.696365,9197.661968,8958.428667,8831.26976,8745.166211,9231.372409,10030.80891,12156.02939,10375.17201,10383.45933,11745.48992,11813.5022,12026.33449,12727.41027,12843.33429,11863.68395,12552.05469,12886.13595,14489.25866,15236.16049,18017.45894,
